Date,Open,High,Low,Close,Adj Close,Volume
2001-01-02,2.562500,2.562500,2.312500,2.312500,1.854065,703000
2001-01-03,2.375000,2.812500,2.312500,2.812500,2.254943,1685100
2001-01-04,3.062500,3.375000,2.937500,3.250000,2.605713,3339400
2001-01-05,3.250000,3.312500,3.000000,3.250000,2.605713,1200900
2001-01-08,3.250000,3.312500,3.125000,3.250000,2.605713,849200
2001-01-09,3.250000,3.625000,3.187500,3.562500,2.856261,1447100
2001-01-10,3.562500,3.812500,3.375000,3.812500,3.056701,1467600
2001-01-11,3.687500,3.937500,3.562500,3.937500,3.156921,1566600
2001-01-12,3.812500,3.937500,3.625000,3.812500,3.056701,733500
2001-01-16,3.687500,3.875000,3.687500,3.812500,3.056701,381900
2001-01-17,3.812500,3.937500,3.750000,3.812500,3.056701,807500
2001-01-18,3.875000,3.937500,3.687500,3.875000,3.106811,1458600
2001-01-19,4.062500,4.062500,3.562500,3.687500,2.956482,4651500
2001-01-22,3.687500,4.375000,3.562500,4.375000,3.507690,2872000
2001-01-23,4.312500,4.937500,4.125000,4.875000,3.908570,2459000
2001-01-24,4.875000,5.437500,4.750000,5.187500,4.159118,4090100
2001-01-25,5.187500,5.187500,4.687500,4.812500,3.858459,3549800
2001-01-26,4.750000,4.812500,4.062500,4.125000,3.307250,3557500
2001-01-29,4.120000,4.540000,4.080000,4.500000,3.607909,1880400
2001-01-30,4.600000,4.850000,4.410000,4.780000,3.832403,1956000
2001-01-31,4.880000,5.390000,4.850000,5.280000,4.233281,4315900
2001-02-01,5.180000,5.940000,4.940000,5.090000,4.080947,1367000
2001-02-02,5.000000,5.250000,4.600000,4.700000,3.768260,1390700
2001-02-05,4.580000,4.970000,4.410000,4.800000,3.848438,755800
2001-02-06,4.890000,4.950000,4.550000,4.580000,3.672050,671100
2001-02-07,4.580000,4.580000,4.150000,4.360000,3.495664,1952300
2001-02-08,4.360000,4.470000,4.250000,4.290000,3.439541,761300
2001-02-09,4.240000,4.250000,4.050000,4.200000,3.367382,1081400
2001-02-12,4.150000,4.940000,4.150000,4.860000,3.896544,1647600
2001-02-13,5.050000,5.200000,4.950000,5.020000,4.024825,2611700
2001-02-14,5.000000,5.000000,4.610000,4.900000,3.928613,746500
2001-02-15,4.850000,5.260000,4.850000,5.230000,4.193193,2118600
2001-02-16,4.950000,5.000000,4.850000,4.980000,3.992753,847900
2001-02-20,4.750000,4.980000,4.450000,4.500000,3.607909,1210900
2001-02-21,4.400000,4.590000,4.170000,4.310000,3.455576,1551900
2001-02-22,4.210000,4.500000,4.150000,4.350000,3.487645,832900
2001-02-23,4.250000,4.450000,4.160000,4.300000,3.447558,617400
2001-02-26,4.360000,4.500000,4.280000,4.480000,3.591875,610500
2001-02-27,4.400000,4.410000,4.290000,4.290000,3.439541,271100
2001-02-28,4.290000,4.380000,4.000000,4.120000,3.303243,1362300
2001-03-01,4.070000,4.070000,3.250000,3.850000,3.086767,3068200
2001-03-02,3.650000,4.150000,3.470000,3.900000,3.126856,2181500
2001-03-05,3.980000,4.060000,3.750000,3.800000,3.046680,497400
2001-03-06,4.050000,4.210000,4.000000,4.140000,3.319277,1320900
2001-03-07,4.150000,4.420000,4.100000,4.420000,3.543769,1024100
2001-03-08,4.360000,4.400000,4.150000,4.400000,3.527735,772000
2001-03-09,4.200000,4.250000,4.100000,4.200000,3.367382,1018600
2001-03-12,4.200000,4.200000,3.980000,4.100000,3.287207,1398000
2001-03-13,4.050000,4.080000,3.750000,3.800000,3.046680,1745000
2001-03-14,3.600000,4.030000,3.600000,3.850000,3.086767,826300
2001-03-15,3.900000,4.240000,3.900000,4.130000,3.311260,1291300
2001-03-16,4.180000,4.200000,4.000000,4.020000,3.223066,953500
2001-03-19,3.950000,4.300000,3.910000,4.250000,3.407471,1047600
2001-03-20,4.230000,4.300000,3.900000,3.900000,3.126856,684500
2001-03-21,3.900000,4.050000,3.870000,3.970000,3.182978,911900
2001-03-22,3.970000,4.050000,3.900000,4.000000,3.207031,1097000
2001-03-23,4.050000,4.230000,4.050000,4.220000,3.383417,569500
2001-03-26,4.250000,4.300000,4.100000,4.200000,3.367382,465500
2001-03-27,4.240000,4.430000,4.150000,4.390000,3.519717,708300
2001-03-28,4.350000,4.350000,4.180000,4.330000,3.471611,655100
2001-03-29,4.390000,4.730000,4.340000,4.560000,3.656015,1154400
2001-03-30,4.460000,4.760000,4.400000,4.760000,3.816367,888400
2001-04-02,4.700000,4.800000,4.350000,4.800000,3.848438,949400
2001-04-03,4.750000,4.750000,4.000000,4.240000,3.399453,1049100
2001-04-04,4.200000,4.230000,3.750000,3.850000,3.086767,2200200
2001-04-05,3.950000,4.130000,3.910000,4.120000,3.303243,1174200
2001-04-06,4.050000,4.090000,3.930000,4.000000,3.207031,614100
2001-04-09,4.000000,4.100000,3.990000,4.040000,3.239102,444800
2001-04-10,4.300000,4.760000,4.300000,4.670000,3.744210,2704100
2001-04-11,4.700000,4.850000,4.600000,4.790000,3.840420,2313900
2001-04-12,4.800000,5.030000,4.700000,5.010000,4.016806,3015900
2001-04-16,4.970000,5.270000,4.940000,5.240000,4.201210,2422200
2001-04-17,5.160000,5.300000,5.010000,5.050000,4.048877,1775200
2001-04-18,5.110000,5.580000,5.050000,5.340000,4.281387,3587300
2001-04-19,5.300000,5.380000,5.150000,5.370000,4.305440,1590100
2001-04-20,5.360000,5.420000,5.050000,5.120000,4.105000,778800
2001-04-23,5.120000,5.140000,5.000000,5.030000,4.032841,1227800
2001-04-24,5.060000,5.150000,4.900000,5.100000,4.088963,1114000
2001-04-25,5.100000,5.250000,5.050000,5.220000,4.185175,583400
2001-04-26,5.190000,5.230000,5.020000,5.060000,4.056893,686600
2001-04-27,5.100000,5.220000,5.000000,5.050000,4.048877,891700
2001-04-30,5.050000,5.320000,5.050000,5.320000,4.265352,776100
2001-05-01,5.280000,5.490000,5.140000,5.490000,4.401649,1802500
2001-05-02,5.400000,5.500000,5.300000,5.360000,4.297421,913600
2001-05-03,5.310000,5.430000,5.250000,5.390000,4.321474,458700
2001-05-04,5.340000,5.340000,5.150000,5.330000,4.273368,406200
2001-05-07,5.280000,5.400000,5.200000,5.330000,4.273368,715100
2001-05-08,5.310000,5.330000,5.170000,5.240000,4.201210,300500
2001-05-09,5.170000,5.200000,5.010000,5.110000,4.096982,384200
2001-05-10,5.120000,5.140000,4.960000,5.050000,4.048877,876000
2001-05-11,5.050000,5.050000,4.950000,4.970000,3.984735,619800
2001-05-14,4.960000,5.000000,4.900000,4.950000,3.968700,542600
2001-05-15,4.910000,5.000000,4.910000,4.990000,4.000772,269500
2001-05-16,4.970000,5.250000,4.950000,5.250000,4.209229,914500
2001-05-17,5.100000,5.220000,5.050000,5.090000,4.080947,846700
2001-05-18,5.070000,5.100000,5.000000,5.020000,4.024825,311600
2001-05-21,5.020000,5.100000,4.900000,5.100000,4.088963,530200
2001-05-22,5.050000,5.120000,4.900000,4.920000,3.944649,825600
2001-05-23,4.920000,4.940000,4.860000,4.870000,3.904560,432000
2001-05-24,4.900000,4.900000,4.750000,4.900000,3.928613,309900
2001-05-25,4.920000,4.940000,4.800000,4.870000,3.904560,232600
2001-05-29,4.800000,4.900000,4.450000,4.500000,3.607909,529300
2001-05-30,4.450000,4.450000,4.180000,4.220000,3.383417,1153700
2001-05-31,4.250000,4.410000,4.220000,4.310000,3.455576,495200
2001-06-01,4.360000,4.500000,4.300000,4.440000,3.559805,432500
2001-06-04,4.450000,4.600000,4.250000,4.370000,3.503682,525500
2001-06-05,4.300000,4.430000,4.150000,4.390000,3.519717,1175000
2001-06-06,4.450000,4.480000,4.050000,4.050000,3.247119,4109200
2001-06-07,4.100000,4.160000,3.940000,4.000000,3.207031,5389200
2001-06-08,4.000000,4.090000,3.850000,3.980000,3.190995,1130900
2001-06-11,4.000000,4.000000,3.610000,3.610000,2.894345,1581200
2001-06-12,3.650000,3.720000,3.460000,3.500000,2.806152,1688300
2001-06-13,3.600000,3.650000,3.230000,3.290000,2.637783,1762900
2001-06-14,3.200000,3.300000,2.980000,3.220000,2.581660,2670900
2001-06-15,3.200000,3.500000,3.150000,3.470000,2.782099,545100
2001-06-18,3.370000,3.440000,3.100000,3.100000,2.485449,615800
2001-06-19,3.200000,3.340000,3.100000,3.100000,2.485449,452300
2001-06-20,3.080000,3.330000,3.080000,3.210000,2.573642,841500
2001-06-21,3.240000,3.500000,3.240000,3.430000,2.750029,445800
2001-06-22,3.440000,3.490000,3.350000,3.380000,2.709941,342400
2001-06-25,3.410000,3.450000,3.180000,3.200000,2.565624,992400
2001-06-26,3.300000,3.450000,3.280000,3.400000,2.725977,706000
2001-06-27,3.460000,3.540000,3.320000,3.450000,2.766065,419800
2001-06-28,3.470000,3.700000,3.460000,3.650000,2.926416,603900
2001-06-29,3.580000,4.000000,3.490000,3.950000,3.166943,1253800
2001-07-02,3.950000,3.950000,3.470000,3.470000,2.782099,1046500
2001-07-03,3.520000,3.590000,3.490000,3.530000,2.830205,193200
2001-07-05,3.470000,3.600000,3.460000,3.540000,2.838222,548100
2001-07-06,3.520000,3.520000,3.270000,3.270000,2.621748,353000
2001-07-09,3.270000,3.390000,3.260000,3.350000,2.685889,417700
2001-07-10,3.320000,3.500000,3.120000,3.120000,2.501484,734000
2001-07-11,3.170000,3.290000,3.110000,3.140000,2.517519,611200
2001-07-12,3.200000,3.320000,3.120000,3.190000,2.557607,1081800
2001-07-13,3.200000,3.270000,3.170000,3.190000,2.557607,319100
2001-07-16,3.250000,3.260000,3.150000,3.160000,2.533555,547700
2001-07-17,3.200000,3.230000,3.120000,3.130000,2.509502,358500
2001-07-18,3.140000,3.210000,3.010000,3.130000,2.509502,851700
2001-07-19,3.140000,3.280000,3.110000,3.170000,2.541572,847900
2001-07-20,3.180000,3.270000,3.180000,3.200000,2.565624,641700
2001-07-23,3.230000,3.300000,3.100000,3.100000,2.485449,890700
2001-07-24,3.100000,3.150000,2.950000,2.950000,2.365186,954100
2001-07-25,2.950000,3.100000,2.950000,3.000000,2.405273,660100
2001-07-26,3.050000,3.390000,3.050000,3.350000,2.685889,1197400
2001-07-27,3.400000,3.530000,3.400000,3.430000,2.750029,973200
2001-07-30,3.400000,3.540000,3.300000,3.360000,2.693906,1215500
2001-07-31,3.600000,3.850000,3.500000,3.510000,2.814169,1723900
2001-08-01,3.590000,3.800000,3.580000,3.760000,3.014609,3871200
2001-08-02,3.800000,3.850000,3.610000,3.690000,2.958487,934300
2001-08-03,3.740000,3.890000,3.600000,3.790000,3.038661,919600
2001-08-06,3.750000,4.060000,3.700000,4.010000,3.215048,1972700
2001-08-07,4.000000,4.040000,3.880000,3.930000,3.150908,764500
2001-08-08,3.900000,3.940000,3.550000,3.720000,2.982539,785200
2001-08-09,3.700000,3.900000,3.630000,3.790000,3.038661,759600
2001-08-10,3.830000,3.840000,3.550000,3.690000,2.958487,432800
2001-08-13,3.650000,3.740000,3.650000,3.720000,2.982539,306600
2001-08-14,3.740000,3.770000,3.620000,3.700000,2.966504,477900
2001-08-15,3.690000,3.690000,3.500000,3.560000,2.854258,454400
2001-08-16,3.550000,3.670000,3.450000,3.650000,2.926416,625500
2001-08-17,3.600000,3.650000,3.500000,3.640000,2.918399,352700
2001-08-20,3.670000,3.670000,3.560000,3.620000,2.902363,512800
2001-08-21,3.610000,3.610000,3.480000,3.500000,2.806152,401600
2001-08-22,3.560000,3.730000,3.460000,3.690000,2.958487,394100
2001-08-23,3.620000,3.640000,3.580000,3.590000,2.878310,461000
2001-08-24,3.590000,3.630000,3.570000,3.630000,2.910381,466400
2001-08-27,3.560000,3.590000,3.510000,3.530000,2.830205,210800
2001-08-28,3.500000,3.570000,3.450000,3.490000,2.798134,495400
2001-08-29,3.440000,3.450000,3.350000,3.370000,2.701923,284400
2001-08-30,3.270000,3.330000,3.180000,3.210000,2.573642,683500
2001-08-31,3.250000,3.280000,3.150000,3.180000,2.549589,518200
2001-09-04,3.170000,3.310000,3.000000,3.060000,2.453379,555400
2001-09-05,3.060000,3.570000,2.970000,3.570000,2.862275,1104400
2001-09-06,3.300000,3.300000,3.150000,3.200000,2.565624,1767300
2001-09-07,3.180000,3.390000,3.140000,3.270000,2.621748,602800
2001-09-10,3.270000,3.280000,3.150000,3.270000,2.621748,408600
2001-09-17,3.000000,3.080000,2.810000,2.870000,2.301045,1062700
2001-09-18,2.900000,3.000000,2.750000,2.750000,2.204834,533800
2001-09-19,2.790000,2.850000,2.480000,2.800000,2.244921,889200
2001-09-20,2.700000,2.730000,2.500000,2.540000,2.036465,729700
2001-09-21,2.100000,2.400000,2.050000,2.210000,1.771885,1298600
2001-09-24,2.310000,2.450000,2.250000,2.350000,1.884130,1277800
2001-09-25,2.450000,3.380000,2.300000,2.370000,1.900166,511700
2001-09-26,2.400000,2.450000,2.090000,2.100000,1.683691,931400
2001-09-27,2.020000,2.100000,1.950000,2.050000,1.643604,940200
2001-09-28,2.050000,2.230000,2.050000,2.170000,1.739815,982200
2001-10-01,2.160000,2.440000,2.150000,2.440000,1.956289,662600
2001-10-02,2.440000,2.490000,2.270000,2.380000,1.908184,491200
2001-10-03,2.500000,2.840000,2.500000,2.800000,2.244921,2249000
